Ime_zrtve	Mesto_zlocina	Broj_Godina	Pol	Odredjenje_zrtve	Datum_izvrsenja_zlocina	Datum_potvrdjivanja	X	Y
Ignjat Djordjevic	Bogumil	/	?	svestenik	/	1.12.1918.	7539764	4605577
Neva Djordjevic	Bogumil	80	Z	civil	/	1.12.1918.	7539764	4605577
Petar Arizakovic	Bogumil	16	?	civil	/	1.12.1918.	7539764	4605577
Rusinka Adamcevic	Bogumil	22	Z	civil	/	1.12.1918.	7539764	4605577
Danica Adamcevic	Bogumil	3	Z	civil	/	1.12.1918.	7539764	4605577
Branko Adamcevic	Bogumil	1	?	civil	/	1.12.1918.	7539764	4605577
Mane Djordjevic	Bogumil	60	?	civil	/	1.12.1918.	7539764	4605577
Vasa Petrovic	Bogumil	20	?	civil	/	1.12.1918.	7539764	4605577
Jordan Ordanovic	Bogumil	75	?	civil	/	1.12.1918.	7539764	4605577
Apa Andjelovic	Bogumil	70	Z	civil	/	1.12.1918.	7539764	4605577
Bogdana Andjelkovic	Bogumil	30	Z	civil	/	1.12.1918.	7539764	4605577
Rajna	Bogumil	1	Z	civil	/	1.12.1918.	7539764	4605577
Danka Trenkovic	Bogumil	21	Z	civil	/	1.12.1918.	7539764	4605577
Kata Mircevic	Bogumil	60	Z	civil	/	1.12.1918.	7539764	4605577
Jane Jankulovic	Bogumil	60	?	civil	/	1.12.1918.	7539764	4605577
Krsta Miric	Bogumil	65	?	civil	/	1.12.1918.	7539764	4605577
Stojanka Popovic	Bogumil	85	Z	civil	/	1.12.1918.	7539764	4605577
Donka Petrovic	Bogumil	25	Z	civil	/	1.12.1918.	7539764	4605577
Lenka Petrovic	Bogumil	2	Z	civil	/	1.12.1918.	7539764	4605577
Bogdan Cvetkovic	Bogumil	60	?	civil	/	1.12.1918.	7539764	4605577
Masa Ignjatovic	Bogumil	100	Z	civil	/	1.12.1918.	7539764	4605577
Jovanka Kamcevic	Bogumil	50	Z	civil	/	1.12.1918.	7539764	4605577
Neda Kamcevic	Bogumil	25	Z	civil	/	1.12.1918.	7539764	4605577
Pera Kamcevic	Bogumil	24	?	civil	/	1.12.1918.	7539764	4605577
Rusinka Kamcevic	Bogumil	18	Z	civil	/	1.12.1918.	7539764	4605577
Darinka Kamcevic	Bogumil	1	Z	civil	/	1.12.1918.	7539764	4605577
Stoja Kamcevic	Bogumil	1	Z	civil	/	1.12.1918.	7539764	4605577
Tasja Kamcevic	Bogumil	8	Z	civil	/	1.12.1918.	7539764	4605577
Petar Miskovic	Bogumil	80	?	civil	/	1.12.1918.	7539764	4605577
Ilinka Damkovic	Bogumil	60	Z	civil	/	1.12.1918.	7539764	4605577
Kamce Damkovic	Bogumil	5	?	civil	/	1.12.1918.	7539764	4605577
Vinka Djordjevic	Bogumil	13	Z	civil	/	1.12.1918.	7539764	4605577
Vasilije Djordjevic	Bogumil	4	?	civil	/	1.12.1918.	7539764	4605577
Milica Naumovic	Bogumil	50	Z	civil	/	1.12.1918.	7539764	4605577
Donka Kostadinovic	Bogumil	25	Z	civil	/	1.12.1918.	7539764	4605577
Lenka Kostadinovic	Bogumil	4	Z	civil	/	1.12.1918.	7539764	4605577
Dimitrije Nikolic	Bogumil	60	?	civil	/	1.12.1918.	7539764	4605577
Cveta Mircevic	Kostinac	50	Z	civil	01.11.1915.	9.12.1918.	7534412	4595306
Velika Mircevic	Kostinac	/	Z	civil	01.11.1915.	9.12.1918.	7534412	4595306
Stojan Mircevic	Kostinac	/	?	civil	01.11.1915.	9.12.1918.	7534412	4595306
Kitan Mircevic	Kostinac	/	?	civil	01.11.1915.	9.12.1918.	7534412	4595306
Krsto Popovic	Vranje	/	?	civil	1916.	05.05.1920.	7576528	4711009
Trajko Mihailovic	Vranje	/	?	civil	1916.	05.05.1920.	7576528	4711009
Nepoznati Svestenik	Vranje	/	?	svestenik	1916.	05.05.1920.	7576528	4711009
								
